Performance Statistics   2015-10-19 13:32:00 - 2015-10-19 13:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$MainScreen#uiPermissions                           0,0           0           0         0,0           1
delta$MainScreen#xml                                    11,0          11          11         0,0           1
delta$MainScreen.windowActions#init                      0,0           0           0         0,0           1
delta$MainScreen.windowActions#inject                    0,0           0           0         0,0           1
delta$MainScreen.windowActions#loadDescriptor           49,0          49          49         0,0           1
delta$MainScreen.windowActions#uiPermissions             0,0           0           0         0,0           1
delta$MainScreen@storagesDs                            283,0         283         283         0,0           1
delta$Operation.edit#init                                0,0           0           0         0,0           2
delta$Operation.edit#inject                              0,5           0           1         0,5           2
delta$Operation.edit#loadDescriptor                    276,0          21         531       255,0           2
delta$Operation.edit#ready                               0,0           0           0         0,0           2
delta$Operation.edit#setItem                            62,5          44          81        18,5           2
delta$Operation.edit#uiPermissions                       0,0           0           0         0,0           2
delta$Operation.edit#xml                                 4,5           3           6         1,5           2
delta$Operation.edit.windowActions#loadDescriptor         8,0           8           8         0,0           2
delta$Operation.edit@categoriesDs                       25,0          15          35        10,0           2
delta$Operation.edit@storagesDs                         26,0          26          26         0,0           1
delta$Storage.view#init                                 12,0          12          12         0,0           1
delta$Storage.view#inject                                1,0           1           1         0,0           1
delta$Storage.view#loadDescriptor                       50,0          50          50         0,0           1
delta$Storage.view#ready                                 0,0           0           0         0,0           1
delta$Storage.view#setItem                              67,0          67          67         0,0           1
delta$Storage.view#uiPermissions                         0,0           0           0         0,0           1
delta$Storage.view#xml                                   4,0           4           4         0,0           1
delta$Storage.view.windowActions#init                    0,0           0           0         0,0           1
delta$Storage.view.windowActions#inject                  0,0           0           0         0,0           1
delta$Storage.view.windowActions#loadDescriptor          5,0           5           5         0,0           1
delta$Storage.view.windowActions#uiPermissions           0,0           0           0         0,0           1
delta$Storage.view@operationsDs                        108,0         108         108         0,0           1
delta$Storage.view@storageCategoriesStatesDs            38,0          38          38         0,0           1
mainWindow#init                                         37,0          37          37         0,0           1
mainWindow#inject                                        6,0           6           6         0,0           1
mainWindow#loadDescriptor                              412,0         412         412         0,0           1
mainWindow#ready                                         0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                         164,0         164         164         0,0           1
windowActions#xml                                       12,0           2          34        12,8           4

Performance Statistics   2015-10-19 14:08:00 - 2015-10-19 14:10:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$Operation.edit#init                             2822,0        2822        2822         0,0           1
delta$Operation.edit#inject                              0,0           0           0         0,0           1
delta$Operation.edit#loadDescriptor                     12,0          12          12         0,0           1
delta$Operation.edit#ready                               0,0           0           0         0,0           1
delta$Operation.edit#setItem                            38,0          38          38         0,0           1
delta$Operation.edit#uiPermissions                       0,0           0           0         0,0           1
delta$Operation.edit#xml                                 3,0           3           3         0,0           1
delta$Operation.edit.windowActions#loadDescriptor         2,0           2           2         0,0           1
delta$Operation.edit@categoriesDs                       13,0          13          13         0,0           1
delta$Storage.view@storageCategoriesStatesDs            27,0          10          44        17,0           2
windowActions#xml                                        1,0           1           1         0,0           1

Performance Statistics   2015-10-19 14:10:00 - 2015-10-19 14:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2015-10-19 14:14:00 - 2015-10-19 14:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$MainScreen#init                                   13,0           2          24        11,0           2
delta$MainScreen#inject                                  1,0           0           2         1,0           2
delta$MainScreen#loadDescriptor                        244,0          14         474       230,0           2
delta$MainScreen#ready                                   0,0           0           0         0,0           2
delta$MainScreen#uiPermissions                           0,0           0           0         0,0           2
delta$MainScreen#xml                                     9,0           3          15         6,0           2
delta$MainScreen.windowActions#init                      0,0           0           0         0,0           2
delta$MainScreen.windowActions#inject                    0,0           0           0         0,0           2
delta$MainScreen.windowActions#loadDescriptor           17,0           4          30        13,0           2
delta$MainScreen.windowActions#uiPermissions             0,0           0           0         0,0           2
delta$MainScreen@storagesDs                             87,0          13         161        74,0           2
delta$Operation.edit#init                                0,0           0           0         0,0           3
delta$Operation.edit#inject                              0,0           0           0         0,0           3
delta$Operation.edit#loadDescriptor                    176,7          11         491       222,4           3
delta$Operation.edit#ready                               0,0           0           0         0,0           3
delta$Operation.edit#setItem                            56,0           1          93        39,7           3
delta$Operation.edit#uiPermissions                       0,0           0           0         0,0           3
delta$Operation.edit#xml                                 4,3           3           7         1,9           3
delta$Operation.edit.windowActions#loadDescriptor         3,0           2           4         0,8           3
delta$Operation.edit@categoriesDs                       28,0          15          46        13,1           3
delta$Operation.edit@storagesDs                         28,0          27          29         1,0           2
delta$Storage.view#init                                 11,0          11          11         0,0           1
delta$Storage.view#inject                                1,0           1           1         0,0           1
delta$Storage.view#loadDescriptor                       64,0          64          64         0,0           1
delta$Storage.view#ready                                 0,0           0           0         0,0           1
delta$Storage.view#setItem                              54,0          54          54         0,0           1
delta$Storage.view#uiPermissions                         0,0           0           0         0,0           1
delta$Storage.view#xml                                   4,0           4           4         0,0           1
delta$Storage.view.windowActions#init                    0,0           0           0         0,0           1
delta$Storage.view.windowActions#inject                  0,0           0           0         0,0           1
delta$Storage.view.windowActions#loadDescriptor          4,0           4           4         0,0           1
delta$Storage.view.windowActions#uiPermissions           0,0           0           0         0,0           1
delta$Storage.view@operationsDs                         61,0          61          61         0,0           1
delta$Storage.view@storageCategoriesStatesDs            19,7          11          34        10,2           3
mainWindow#init                                         35,0          35          35         0,0           1
mainWindow#inject                                        6,0           6           6         0,0           1
mainWindow#loadDescriptor                              411,0         411         411         0,0           1
mainWindow#ready                                         0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                         179,0         179         179         0,0           1
windowActions#xml                                        4,0           1          14         4,5           6

Performance Statistics   2015-10-19 14:16:00 - 2015-10-19 14:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$Operation.edit#init                                0,0           0           0         0,0           2
delta$Operation.edit#inject                              0,0           0           0         0,0           2
delta$Operation.edit#loadDescriptor                     20,5          20          21         0,5           2
delta$Operation.edit#ready                               0,0           0           0         0,0           2
delta$Operation.edit#setItem                            61,0          37          85        24,0           2
delta$Operation.edit#uiPermissions                       0,0           0           0         0,0           2
delta$Operation.edit#xml                                 4,5           4           5         0,5           2
delta$Operation.edit.windowActions#loadDescriptor         4,0           3           5         1,0           2
delta$Operation.edit@categoriesDs                       25,0          13          37        12,0           2
delta$Operation.edit@storagesDs                         16,0           8          24         8,0           2
delta$Storage.view#init                                  1,3           1           2         0,5           3
delta$Storage.view#inject                                0,0           0           0         0,0           3
delta$Storage.view#loadDescriptor                       13,3          12          14         0,9           3
delta$Storage.view#ready                                 0,0           0           0         0,0           3
delta$Storage.view#setItem                              19,0           9          26         7,3           3
delta$Storage.view#uiPermissions                         0,0           0           0         0,0           3
delta$Storage.view#xml                                   4,0           4           4         0,0           3
delta$Storage.view.windowActions#init                    0,0           0           0         0,0           3
delta$Storage.view.windowActions#inject                  0,0           0           0         0,0           3
delta$Storage.view.windowActions#loadDescriptor          4,3           3           5         0,9           3
delta$Storage.view.windowActions#uiPermissions           0,0           0           0         0,0           3
delta$Storage.view@operationsDs                         22,0          12          30         7,5           3
delta$Storage.view@storageCategoriesStatesDs            14,0           8          19         4,3           4
windowActions#xml                                        2,4           2           3         0,5           5

Performance Statistics   2015-10-19 14:18:00 - 2015-10-19 14:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$Storage.view#init                                  1,0           1           1         0,0           1
delta$Storage.view#inject                                0,0           0           0         0,0           1
delta$Storage.view#loadDescriptor                       13,0          13          13         0,0           1
delta$Storage.view#ready                                 0,0           0           0         0,0           1
delta$Storage.view#setItem                              15,0          15          15         0,0           1
delta$Storage.view#uiPermissions                         0,0           0           0         0,0           1
delta$Storage.view#xml                                   4,0           4           4         0,0           1
delta$Storage.view.windowActions#init                    0,0           0           0         0,0           1
delta$Storage.view.windowActions#inject                  0,0           0           0         0,0           1
delta$Storage.view.windowActions#loadDescriptor          4,0           4           4         0,0           1
delta$Storage.view.windowActions#uiPermissions           0,0           0           0         0,0           1
